"bZIP29_1";"bZIP29_2";"bZIP29_3";"WT_1";"WT_2";"WT_3"
"3";41.8629060744716;41.1998530830302;42.6965659118674;37.528635786519;34.8492408728761;48.6456870599298
"4";102.422396502516;98.3189689612045;92.0684061403395;104.210417827802;97.4183357161658;86.065446336799
"8";246.380645125796;215.060229458928;203.343969512419;258.405327668836;258.053892357663;205.454705326918
"9";207.570242619255;239.289547675437;206.303760954687;NA;307.660465560112;179.311441075376
"13";10.7927804723247;11.9644773837718;NA;4.2951228367976;4.28760331197045;8.84926739655689
"14";36.2484798691714;31.4881015664957;NA;37.636013857439;37.29217764365;NA
"18";13.6817570634015;13.4662946285967;11.9021400550781;20.9387238293883;17.2002691003466;12.844079535574
"19";40.5546902596444;38.3964608926903;NA;35.6495195454201;44.2719969887182;35.3465023439615
"21";42.5170139818852;NA;43.0114373418959;41.4479353750969;45.4186815954079;38.6839403335201
"22";13.2456851251258;14.2172032510092;12.7837800591579;8.91237988635502;10.1207380503489;13.8048571386287
"23";26.4913702502516;26.482044083746;27.8346344145212;29.5826585384435;NA;25.9915625247442
"25";75.6039722985574;84.8026137577803;71.5387889024799;81.3925777573145;75.880607451384;59.2648079357981
"26";21.8035969137873;17.120716591004;21.285308669928;21.3145470776081;19.1945031989375;20.6314348445441
"28";30.3069997101643;26.0314989102985;29.4089915646638;32.7503116305817;30.5616375609057;30.9977195090821
"29";16.8432786159007;17.320958890314;17.7587486536086;12.8316794749328;15.7045935264034;17.3445640972515
"33";28.3446759879235;31.6382832909782;NA;31.8912870632222;33.8521238235807;24.7779487103593
"39";64.2115929111036;NA;NA;50.7361385096717;52.6477802028;64.6249356159983
"41";66.3919526024823;56.2180255312794;53.4651688188428;73.392911473779;73.4875265330749;56.0285044307716
"43";60.1779274820529;65.3290501498838;61.8407488576015;70.8695268071604;67.9036710570204;64.0686959510718
"44";117.793932326736;138.167186523892;170.408417931435;89.49962211177;98.8641554376442;158.275468292703
"48";396.334882900368;407.24277622169;360.401838810645;474.181561182455;479.862579973437;447.823497508044
"51";36.5755338228782;38.9471272157928;35.9583173092571;35.0589401553604;43.0754565295636;30.5426143286878
"54";14.3358649708151;11.9144168089443;11.9021400550781;17.2878694181103;15.6547376739386;13.7037226540967
"56";27.472532111372;29.6859208727058;31.4871430028521;28.1330545810243;28.4676917573852;33.8294850759803
"59";21.5310519523649;21.1255625772038;20.0258229498139;19.0596075882894;23.9806650355557;18.6087451539025
"61";50.7478718168399;69.8845624591861;60.0774688494418;41.9848257296966;38.4887181028045;51.8819905649564
"64";21.2039979986581;28.4844670768459;27.3308401264756;31.3007076731625;27.0717278883716;31.3011229626784
"65";24.092974589735;25.1304085634036;24.4969972562189;NA;27.420718855625;NA
"66";71.8428518309291;NA;75.3802203488279;69.9568132043409;NA;74.3844133733439
"68";42.844067935592;NA;52.5205545287573;38.9245507084783;37.3420334961147;45.9656232198298
"69";35.0492820389131;31.9887073147707;29.7868372806981;33.8777813752411;34.7993850204113;28.0142522153858
"74";57.8340408138208;NA;NA;58.3599815449874;60.325581482375;NA
"76";20.2773451298222;17.7715040637615;18.2625429416542;18.0395159145499;19.5434941661909;17.4456985817836
"77";20.8769440449513;19.3734424582414;19.7739258057911;26.4686944817652;24.5290794126682;20.530300360012
"78";26.9274421885273;25.1304085634036;26.5121744084014;27.0592738718249;29.8137997739341;26.2949659783405
"79";185.05802880577;168.403773719701;166.063192197042;169.496284947125;193.191428300994;171.119547828277
"81";16.4072066776249;13.3661734789418;15.8065457874317;13.7443930777523;14.4083413623193;14.7150674994174
"82";15.9166257470647;23.9289547675437;21.1593600979166;14.5497286096519;17.8982510348534;15.1196054375458
"83";11.174343418316;9.76181209136195;NA;12.8316794749328;12.713242378517;NA
"87";11.1198344260315;7.25878334998709;7.87178575071302;8.85869085089505;10.6691524274614;9.000969123355
"88";191.16303594163;174.060618675208;189.678549449181;172.878694181103;184.765789234448;198.425858651938
"89";52.3286325930895;NA;45.2155373520956;65.0711109774837;NA;NA
"90";48.0224222026165;48.8591210316373;NA;54.6017490627895;53.8941765144193;49.8593008743148
"91";32.1057964555518;NA;26.4492001223957;37.6897028928989;34.8990967253409;27.7614160040556
"92";54.1819383307614;61.6746281874766;67.697357456132;51.5414740415712;48.0610417760409;62.8550821366869
"93";57.0709149218382;56.4683284054168;49.1199430844492;69.6883680270411;73.8365175003284;56.483609611166
"95";27.363514126803;27.3330738558135;26.5751486944072;32.8576897015016;NA;25.5364573443499
"97";19.4052012532707;22.8276221213387;19.3960800897569;23.7842427087667;NA;17.6985347931138
"98";33.1959763012411;35.843371576488;40.4924659016678;NA;30.3123582985818;NA
"103";34.2861561469305;33.9911303078706;34.0061144430802;32.6429335596618;NA;28.8233280916424
"104";18.4785483844347;18.021806937899;21.285308669928;15.7845764252312;16.1034403461216;17.6985347931138
"105";27.5270411036564;NA;22.0410001019965;26.4150054463052;23.6316740683023;21.2888089940026
"108";68.2452583401542;101.072300576717;98.8696290289555;59.111628041427;60.7244283020931;100.72994659395
"110";58.1610947675276;NA;52.3946059567459;57.1788227648681;59.0791851707556;52.3876629876168
"114";43.4436668507212;104.376298515332;140.117786362692;42.951228367976;57.9325005640659;121.310814196228
"115";17.224841561892;14.3673849754917;17.6957743676029;20.1870773329487;20.8896021827398;NA
"119";28.1811490110701;23.2281067199587;28.3384287025669;28.562566864704;28.6671151672443;32.0090643544029
"126";644.568833763837;668.008310498123;664.315743074173;NA;654.308207747677;NA
"127";57.2344418986916;56.1679649564519;136.717174918384;46.9242169920138;43.4743033492818;199.184367285929
"129";65.4652997336463;61.1740224392016;58.3771631272878;NA;71.8921392542022;55.219428554515
"134";19.5142192378396;17.2708983154865;20.0887972358196;16.3214667798309;14.6576206246432;17.7491020353798
"138";13.5182300865481;11.3637504858419;12.9727029171751;18.0932049500099;16.1532961985864;14.7150674994174
"141";23.2208307131835;21.9765923492713;22.1039743880022;21.9588155031277;26.4734576587943;NA
"142";45.405990572962;47.8579095350873;45.2155373520956;49.1254674458726;44.4215645461125;NA
"144";13.6272480711171;12.4150225572193;16.9400829355344;NA;NA;NA
"145";1461.60411911573;1300.0731282701;NA;1864.88864670206;1765.24616822021;1305.79789703593
"146";68.4632943092921;69.3839567109111;88.0380518359744;54.8165052046294;51.102248776392;65.585713219053
"147";67.3186054713183;72.6378940746984;66.7527431660464;55.9439749492888;59.1788968756852;47.4320732455449
"148";102.96748642536;92.5119422812148;96.3506575887274;121.713043387752;115.466154308414;NA
"149";23.0573037363301;19.5736847575514;36.2731887392856;41.8237586233166;NA;53.6518440442677
"151";53.6913574002012;47.7577883854323;48.4902002243922;NA;58.0322122689954;50.0110026011129
"153";79.2015657893323;86.0541281284677;108.819566217857;NA;71.8921392542022;114.939341670707
"154";54.8905552304595;90.8599433119074;103.718649051395;43.9713200417154;46.1665193823795;94.8641464910898
"156";20.6589080758135;10.9132053123944;101.199677611167;16.9657352053505;4.63659427922386;NA
"157";29.107801879906;31.8885861651157;157.750586444289;23.9989988506066;14.9567557394318;135.115671334857
"159";25.9462803274069;22.8276221213387;23.1115629640934;30.3343050348831;NA;21.6427796898648
"160";10.24769054948;NA;7.49394003467879;9.98616059555442;NA;7.28168288630967
"161";33.6320482395169;NA;35.1396515911829;29.4752804675235;30.0630790362579;35.5993385552917
"162";21.6400699369339;18.622533835829;20.7815143818824;20.3481444393286;19.74291757605;21.895615901195
"164";21.2585069909426;24.0791364920262;20.5925915238653;25.126468595266;21.7870075271057;25.2330538907536
"165";37.6657136685675;33.7908880085606;40.0516458996278;37.636013857439;38.9374207749875;39.5941506943088
"166";115.395536666219;NA;NA;101.042764735664;111.577397816161;NA
"168";152.570669404227;162.096141291436;177.461537964074;137.121796564763;141.141918327771;188.615813652327
"172";41.9719240590405;31.8885861651157;30.1646829967323;47.7295525239133;39.8348261193534;30.6943160554859
"175";24.0384655974505;25.5308931620236;22.2928972460193;27.6498532618846;26.972016183442;19.7717917260214
"176";14.9899728782288;13.0658100299768;14.6730086393291;14.8181737869517;NA;13.2486174737023
"178";18.9146203227105;18.8728367099664;22.7337172480592;21.8514374322078;21.2884490024579;27.002907370065
"179";38.3743305682656;46.1057894161249;37.2178030293712;31.1396405667826;36.5443398566784;30.0875091482934
"181";190.890490980208;NA;198.557923775985;NA;157.245358673893;139.262185200672
"182";24.7470824971486;21.7763500499613;25.3156629742931;24.8580234179661;22.8838362813307;20.0246279373516
"183";14.0633200093928;13.3161129041143;14.043265779272;NA;14.1590620999954;NA
"185";49.8757279402884;49.8102719533597;51.8278373826945;60.2390977860864;54.7417260063204;58.8602699976698
"186";28.6717299416303;30.8873746685658;37.3437516013826;23.8916207796867;22.9336921337954;35.1442333748973
"188";13.0821581482724;12.2648408327368;10.8315771929811;14.1739053614321;12.713242378517;10.7202553604003
"189";51.7290336779603;NA;47.4826116483009;68.8830324951415;59.9267346626568;NA
"190";62.4127961657161;71.9370460271135;66.6897688800407;NA;65.7598694010352;66.6476253066399
"191";32.3238324246896;24.6298028151286;25.0637658302703;NA;30.1129348887227;25.3847556175518
"192";31.9967784709828;28.4844670768459;30.9203744288007;30.387994070343;33.1042860366091;33.8294850759803
"194";30.1434727333109;NA;NA;27.7572313328045;26.6728810686534;NA
"200";26.8184242039584;31.5381621413232;28.5903258465897;NA;28.51754760985;28.8233280916424
"203";17.115823577323;17.421080039969;NA;14.6034176451118;16.6019988707693;NA
